population_rank,city,state,region,population,priority_tier,has_cnc_coverage,cnc_event_count,total_event_count,track_event_count,show_event_count,autocross_event_count,nearest_event_distance_miles,last_coverage_check
1,New York,NY,Mid-Atlantic,8336817,1,true,19,28,0,3,3,2.556216910943885,2025-12-15T23:12:46.131324+00:00
2,Los Angeles,CA,Pacific,3979576,1,true,23,46,0,9,0,0,2025-12-15T23:12:46.131324+00:00
3,Chicago,IL,Great Lakes,2696555,1,true,10,19,0,6,0,0,2025-12-15T23:12:46.131324+00:00
4,Houston,TX,Southwest,2304580,1,true,13,22,0,3,3,0.7752733713505748,2025-12-15T23:12:46.131324+00:00
5,Phoenix,AZ,Southwest,1608139,1,true,13,32,0,5,0,5.495919350841137,2025-12-15T23:12:46.131324+00:00
6,Philadelphia,PA,Mid-Atlantic,1576251,1,true,7,11,0,3,0,0.3302097134534461,2025-12-15T23:12:46.131324+00:00
7,San Antonio,TX,Southwest,1495295,1,true,4,5,0,0,1,0,2025-12-15T23:12:46.131324+00:00
8,San Diego,CA,Pacific,1388320,1,true,9,12,0,2,1,0.9033560705493975,2025-12-15T23:12:46.131324+00:00
9,Dallas,TX,Southwest,1302868,1,true,18,20,0,0,0,0.25339288676204447,2025-12-15T23:12:46.131324+00:00
10,San Jose,CA,Pacific,1026908,1,true,1,5,0,4,0,3.504972644177298,2025-12-15T23:12:46.131324+00:00
11,Austin,TX,Southwest,979882,1,true,14,23,6,0,0,0,2025-12-15T23:12:46.131324+00:00
12,Jacksonville,FL,Southeast,954614,1,true,4,10,0,2,0,8.216296394040107,2025-12-15T23:12:46.131324+00:00
13,Fort Worth,TX,Southwest,956709,1,true,10,19,4,2,2,14.253547427864023,2025-12-15T23:12:46.131324+00:00
14,Columbus,OH,Great Lakes,906528,1,true,4,6,0,2,0,2.7502673653002083,2025-12-15T23:12:46.131324+00:00
15,Charlotte,NC,Southeast,897720,1,true,16,16,0,0,0,12.504311083261925,2025-12-15T23:12:46.131324+00:00
16,San Francisco,CA,Pacific,874961,1,true,8,18,6,1,0,8.715045146159392,2025-12-15T23:12:46.131324+00:00
17,Indianapolis,IN,Great Lakes,879293,1,true,6,12,0,1,0,0.3762211764341765,2025-12-15T23:12:46.131324+00:00
18,Seattle,WA,Pacific,749256,1,true,12,16,0,2,2,13.829366594577461,2025-12-15T23:12:46.131324+00:00
19,Denver,CO,Mountain,716492,1,true,13,18,0,0,4,4.591035311722349,2025-12-15T23:12:46.131324+00:00
20,Washington,DC,Mid-Atlantic,678972,1,true,16,20,0,2,0,0.8365129865627817,2025-12-15T23:12:46.131324+00:00
21,Boston,MA,New England,675647,1,true,11,15,0,4,0,5.006544201578022,2025-12-15T23:12:46.131324+00:00
22,El Paso,TX,Southwest,678415,1,true,2,2,0,0,0,6.333911727931092,2025-12-15T23:12:46.131324+00:00
23,Nashville,TN,Southeast,683622,1,true,10,13,0,3,0,2.285177951894069,2025-12-15T23:12:46.131324+00:00
24,Oklahoma City,OK,Southwest,687725,1,true,3,5,0,0,0,0,2025-12-15T23:12:46.131324+00:00
25,Las Vegas,NV,Pacific,660929,1,true,6,12,0,0,0,2.7164213817049867,2025-12-15T23:12:46.131324+00:00
26,Detroit,MI,Great Lakes,633218,1,true,7,20,0,4,4,0.33694050956948884,2025-12-15T23:12:46.131324+00:00
27,Portland,OR,Pacific,641162,1,true,9,15,2,0,0,0,2025-12-15T23:12:46.131324+00:00
28,Memphis,TN,Southeast,628127,1,true,1,1,0,0,0,14.18805073458343,2025-12-15T23:12:46.131324+00:00
29,Louisville,KY,Southeast,620118,1,true,1,1,0,0,0,6.088141451764919,2025-12-15T23:12:46.131324+00:00
30,Milwaukee,WI,Great Lakes,563305,1,true,2,3,0,0,0,0.4216162866163722,2025-12-15T23:12:46.131324+00:00
31,Baltimore,MD,Mid-Atlantic,569931,1,true,2,7,0,0,3,7.780303648616242,2025-12-15T23:12:46.131324+00:00
32,Albuquerque,NM,Southwest,562599,1,true,5,5,0,0,0,4.956506935826152,2025-12-15T23:12:46.131324+00:00
33,Tucson,AZ,Southwest,543242,1,true,2,2,0,0,0,9.972641917507715,2025-12-15T23:12:46.131324+00:00
