id,slug,name,brand,model,trim
51f45da7-e483-4f49-9633-89e9d5688184,acura-integra-type-r-dc2,"Integra Type R","Acura","Integra","Type R"
4e47adb7-9b39-42de-99fc-f28eeeb4dc12,acura-integra-type-s-dc5,"Integra Type S","Acura","Integra","Type S"
0321b2c0-1f19-44f1-995c-ed8423078a5c,acura-nsx-na1,"NSX NA1","Acura","NA1 NSX","Standard"
e19213d4-384f-40e2-8c03-0572448e367d,acura-nsx-nc1,"NSX NC1","Acura","NC1 NSX","Standard"
59e42dbb-79f3-4261-ad79-60c06a924901,acura-rsx-type-s-dc5,"RSX Type-S","Acura","RSX","Type-S"
29a67c1c-194c-4cb1-8bdc-ff441d4e840b,acura-tl-type-s-ua6,"TL Type-S","Acura","TL","Type-S"
29cd373f-169d-47b0-a4b6-7bc989974417,acura-tsx-cl9,"TSX","Acura","TSX","Standard"
2eed08aa-8e83-469a-92d8-2cd91e829f9d,acura-tsx-cu2,"TSX CU2","Acura","CU2 TSX","Standard"
f0cac4ab-facb-48dc-b0ba-b6cab1a76f01,alfa-romeo-4c,"4C","Alfa Romeo","4C","Standard"
53eac173-9474-4f19-ac9c-faf05a8989ce,alfa-romeo-giulia-quadrifoglio,"Giulia Quadrifoglio","Alfa Romeo","Giulia","Quadrifoglio"
9d256457-763f-43aa-910c-e4f83c78ed34,aston-martin-db11-db11,"DB11","Aston Martin","DB11","Standard"
58721086-9fd5-48cf-bf59-e61b4a162684,aston-martin-db9-first-generation,"DB9","Aston Martin","DB9","Standard"
b265a27f-7d5b-432e-b9f5-ec6cfee307ca,aston-martin-dbs-superleggera-2018,"DBS Superleggera","Aston Martin","DBS","Superleggera"
5c562a54-15cb-472b-a981-0449bb1d94ac,aston-martin-v12-vantage-1st-gen,"V12 Vantage","Aston Martin","Vantage","V12"
2700aca3-b46b-4bc4-ba54-2f62b1c4787e,aston-martin-v8-vantage,"V8 Vantage","Aston Martin","V8 Vantage","Standard"
f62304a7-74eb-4e5f-af5d-fa7e77ba44d0,aston-martin-vantage-2018-2024,"Vantage","Aston Martin","Vantage","Standard"
c3b8a63a-24fb-42cf-90d6-77e06601b86f,audi-a3-1-8-tfsi-8v,"A3 1.8 TFSI (8V)","Audi","8V A3","1.8 TFSI"
1eaccc6f-a9ee-4698-87c7-83db53c411f2,audi-a4-b8,"A4 2.0T B8","Audi","B8 A4","2.0T"
73487d92-8000-474b-b1e7-5f584e79ca73,audi-a4-b8-5,"A4 2.0T B8.5","Audi","B8.5 A4","2.0T"
3315922e-1a54-4a66-88c6-f28df57430d7,audi-r8-v10,"R8 V10","Audi","R8","V10"
eb5d95b8-8205-466b-9cd7-3712e7e72636,audi-r8-v8,"R8 V8","Audi","R8","V8"
86b2c31a-e71d-4afa-9211-a4b67de68ff8,audi-rs3-8v,"RS3 8V","Audi","8V RS3","Standard"
0b918cbe-0df3-4e5b-9797-9af887eeba35,audi-rs3-8y,"RS3 8Y","Audi","8Y RS3","Standard"
6b78e024-a201-40fc-83c6-7340591da3fc,audi-rs5-b8,"RS5 B8","Audi","B8 RS5","Standard"
7ecde939-eb56-4d6c-91c5-10bc466624a3,audi-rs5-b9,"RS5 B9","Audi","B9 RS5","Standard"
1d353280-e967-4cba-a5bc-0229b07f9fcd,audi-rs6-avant-c8,"RS6 Avant C8","Audi","C8 RS6","Avant"
abf21033-cd3e-470d-9aee-afa23568a11d,audi-rs7-c8,"RS7 Sportback","Audi","RS7","Sportback"
02c00db0-8a29-4759-8080-ebfa75c76d29,audi-s4-b5,"S4 B5","Audi","B5 S4","Standard"
5bf416e9-b1a9-4eb7-a157-beabe80c58a0,audi-s4-b6,"S4 B6","Audi","B6 S4","Standard"
6139dc0d-1b5a-482a-aa2e-fea003cece8e,audi-s4-b7,"S4 B7","Audi","B7 S4","Standard"
db659bef-b3b7-489d-b726-441b810439f4,audi-s4-b8,"S4 B8","Audi","B8 S4","Standard"
bfce5bb9-0af1-46d9-899a-e5ca4d4edecc,audi-s4-b9,"S4 B9","Audi","B9 S4","Standard"
ec853d82-e647-4e4b-8d55-3ff852c04eae,audi-s5-b8,"S5 B8","Audi","B8 S5","Standard"
098a3aa1-19aa-4087-acbf-a99659ccd6de,audi-s5-b9,"S5 B9","Audi","B9 S5","Standard"
b3595462-36a0-4a0c-b18f-44530e598bb0,audi-tt-rs-8j,"TT RS 8J","Audi","8J TT","RS"
b14692d3-6de3-4f56-8070-db975bc379de,audi-tt-rs-8s,"TT RS 8S","Audi","8S TT","RS"
738c6915-e5ee-468f-8a79-64fef488acc1,bmw-1m-coupe-e82,"1 Series M Coupe","BMW","1 Series M","Coupe"
e482f31a-fc3d-4647-a242-10ad5a2da59b,bmw-135i-e82,"135i N54","BMW","135i","N54"
09f901dc-76c7-4057-bc7f-720f8e39775d,bmw-335i-e90,"335i E90","BMW","E90 335i","Standard"
d560de38-3d6b-4645-8d8f-877a454644f3,bmw-340i-f30,"340i F30","BMW","F30 340i","Standard"
e98068ee-8b41-41d7-8474-ecafae7ee7ad,bmw-i4-m50-g26,"i4 M50","BMW","i4","M50"
53bc4cda-4049-4f08-956c-89ba453dc118,bmw-m2-competition,"M2 Competition","BMW","M2","Competition"
6d5bed1d-4205-49fb-8f59-3affaca9a83a,bmw-m2-g87,"M2 G87","BMW","G87 M2","Standard"
e9a8a3c9-e2cd-4385-b1a0-62e5d6a4673b,bmw-m3-e30,"M3 E30","BMW","E30 M3","Standard"
7951f67c-98ae-49a9-b2c8-4f532e5256bf,bmw-m3-e36,"M3 E36","BMW","E36 M3","Standard"
0143284b-712a-4b79-8b6f-65960c14a7d7,bmw-m3-e46,"M3 E46","BMW","E46 M3","Standard"
243e8415-2418-472f-aad8-3d513ed3755e,bmw-m3-e92,"M3 E92","BMW","E92 M3","Standard"
4da0a42f-90d1-40f3-ac5f-7da14437b9bd,bmw-m3-f80,"M3 F80","BMW","F80 M3","Standard"
f233826c-9e5d-48d3-a8c1-74cf2e5e3bfe,bmw-m3-g80,"M3 G80","BMW","G80 M3","Standard"
ae53844f-897e-4318-96ca-11566f8f09c2,bmw-m340i-g20,"M340i G20","BMW","G20 3 Series","M340i"
6d1cbeba-bf82-4209-aa98-e8b55396ce07,bmw-m4-csl-g82,"M4 CSL","BMW","M4","CSL"
e40e492b-d312-47db-a513-7a537db2c624,bmw-m4-f82,"M4 F82","BMW","F82 M4","Standard"
bc864470-65ce-434a-8baf-4c929c552d57,bmw-m5-e39,"M5 E39","BMW","E39 M5","Standard"
b50c0be8-45ce-4f6b-aaa2-4943e080acca,bmw-m5-e60,"M5 E60","BMW","E60 M5","Standard"
e6d25eef-9f50-4330-9356-a53cff4e7612,bmw-m5-f10-competition,"M5 F10 Competition","BMW","F10 M5","Competition"
7ecb9923-659d-42e0-80ad-e3f69355e052,bmw-m5-f90-competition,"M5 F90 Competition","BMW","F90 M5","Competition"
c497677c-0fff-405b-a138-a01c728bf83c,bmw-z4m-e85-e86,"Z4 M Coupe/Roadster","BMW","E85/E86 Z4 M","Standard"
298d1d40-a2bf-4293-8a11-ea0708351879,buick-grand-national-g-body,"Grand National","Buick","Grand National","Standard"
559def72-c41c-45f9-8169-6e8c8524747b,cadillac-ats-v-first-generation,"ATS-V","Cadillac","ATS","V"
3377c815-4ab6-4971-93e2-7ad8e196c904,cadillac-ct4-v-blackwing,"CT4-V Blackwing","Cadillac","CT4","V Blackwing"
05c1b6bf-6444-48c3-985e-c34c815307e3,cadillac-ct5-v-blackwing,"CT5-V Blackwing","Cadillac","CT5","V Blackwing"
